variable_name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
male_other_somecoll,C15002F_005,C15002F_005,C15002F_005,C15002F_005,C15002F_005,C15002F_005,C15002F_005,C15002F_005,C15002F_005,C15002F_005,C15002F_005,C15002F_005,C15002F_005,C15002F_005,C15002F_005,
male_other_somecoll_a,,,,,,,,,,,,,,,,B15002F_006
male_other_somecoll_b,,,,,,,,,,,,,,,,B15002F_007
male_other_collplus,C15002F_006,C15002F_006,C15002F_006,C15002F_006,C15002F_006,C15002F_006,C15002F_006,C15002F_006,C15002F_006,C15002F_006,C15002F_006,C15002F_006,C15002F_006,C15002F_006,C15002F_006,
male_other_collplus_a,,,,,,,,,,,,,,,,B15002F_008
male_other_collplus_b,,,,,,,,,,,,,,,,B15002F_009
female_other_lths,C15002F_008,C15002F_008,C15002F_008,C15002F_008,C15002F_008,C15002F_008,C15002F_008,C15002F_008,C15002F_008,C15002F_008,C15002F_008,C15002F_008,C15002F_008,C15002F_008,C15002F_008,
female_other_lths_a,,,,,,,,,,,,,,,,B15002F_011
female_other_lths_b,,,,,,,,,,,,,,,,B15002F_012
female_other_hs,C15002F_009,C15002F_009,C15002F_009,C15002F_009,C15002F_009,C15002F_009,C15002F_009,C15002F_009,C15002F_009,C15002F_009,C15002F_009,C15002F_009,C15002F_009,C15002F_009,C15002F_009,B15002F_013
female_other_somecoll,C15002F_010,C15002F_010,C15002F_010,C15002F_010,C15002F_010,C15002F_010,C15002F_010,C15002F_010,C15002F_010,C15002F_010,C15002F_010,C15002F_010,C15002F_010,C15002F_010,C15002F_010,
female_other_somecoll_a,,,,,,,,,,,,,,,,B15002F_014
female_other_somecoll_b,,,,,,,,,,,,,,,,B15002F_015
female_other_collplus,C15002F_011,C15002F_011,C15002F_011,C15002F_011,C15002F_011,C15002F_011,C15002F_011,C15002F_011,C15002F_011,C15002F_011,C15002F_011,C15002F_011,C15002F_011,C15002F_011,C15002F_011,
female_other_collplus_a,,,,,,,,,,,,,,,,B15002F_016
female_other_collplus_b,,,,,,,,,,,,,,,,B15002F_017
male_multi_lths,C15002G_003,C15002G_003,C15002G_003,C15002G_003,C15002G_003,C15002G_003,C15002G_003,C15002G_003,C15002G_003,C15002G_003,C15002G_003,C15002G_003,C15002G_003,C15002G_003,C15002G_003,
male_multi_lths_a,,,,,,,,,,,,,,,,B15002G_003
male_multi_lths_b,,,,,,,,,,,,,,,,B15002G_004
male_multi_hs,C15002G_004,C15002G_004,C15002G_004,C15002G_004,C15002G_004,C15002G_004,C15002G_004,C15002G_004,C15002G_004,C15002G_004,C15002G_004,C15002G_004,C15002G_004,C15002G_004,C15002G_004,B15002G_005
male_multi_somecoll,C15002G_005,C15002G_005,C15002G_005,C15002G_005,C15002G_005,C15002G_005,C15002G_005,C15002G_005,C15002G_005,C15002G_005,C15002G_005,C15002G_005,C15002G_005,C15002G_005,C15002G_005,
male_multi_somecoll_a,,,,,,,,,,,,,,,,B15002G_006
male_multi_somecoll_b,,,,,,,,,,,,,,,,B15002G_007
male_multi_collplus,C15002G_006,C15002G_006,C15002G_006,C15002G_006,C15002G_006,C15002G_006,C15002G_006,C15002G_006,C15002G_006,C15002G_006,C15002G_006,C15002G_006,C15002G_006,C15002G_006,C15002G_006,
male_multi_collplus_a,,,,,,,,,,,,,,,,B15002G_008
male_multi_collplus_b,,,,,,,,,,,,,,,,B15002G_009
female_multi_lths,C15002G_008,C15002G_008,C15002G_008,C15002G_008,C15002G_008,C15002G_008,C15002G_008,C15002G_008,C15002G_008,C15002G_008,C15002G_008,C15002G_008,C15002G_008,C15002G_008,C15002G_008,
female_multi_lths_a,,,,,,,,,,,,,,,,B15002G_011
female_multi_lths_b,,,,,,,,,,,,,,,,B15002G_012
female_multi_hs,C15002G_009,C15002G_009,C15002G_009,C15002G_009,C15002G_009,C15002G_009,C15002G_009,C15002G_009,C15002G_009,C15002G_009,C15002G_009,C15002G_009,C15002G_009,C15002G_009,C15002G_009,B15002G_013
female_multi_somecoll,C15002G_010,C15002G_010,C15002G_010,C15002G_010,C15002G_010,C15002G_010,C15002G_010,C15002G_010,C15002G_010,C15002G_010,C15002G_010,C15002G_010,C15002G_010,C15002G_010,C15002G_010,
female_multi_somecoll_a,,,,,,,,,,,,,,,,B15002G_014
female_multi_somecoll_b,,,,,,,,,,,,,,,,B15002G_015
female_multi_collplus,C15002G_011,C15002G_011,C15002G_011,C15002G_011,C15002G_011,C15002G_011,C15002G_011,C15002G_011,C15002G_011,C15002G_011,C15002G_011,C15002G_011,C15002G_011,C15002G_011,C15002G_011,
female_multi_collplus_a,,,,,,,,,,,,,,,,B15002G_016
female_multi_collplus_b,,,,,,,,,,,,,,,,B15002G_017
male_white_nohisp_lths,C15002H_003,C15002H_003,C15002H_003,C15002H_003,C15002H_003,C15002H_003,C15002H_003,C15002H_003,C15002H_003,C15002H_003,C15002H_003,C15002H_003,C15002H_003,C15002H_003,C15002H_003,
male_white_nohisp_lths_a,,,,,,,,,,,,,,,,B15002H_003
male_white_nohisp_lths_b,,,,,,,,,,,,,,,,B15002H_004
male_white_nohisp_hs,C15002H_004,C15002H_004,C15002H_004,C15002H_004,C15002H_004,C15002H_004,C15002H_004,C15002H_004,C15002H_004,C15002H_004,C15002H_004,C15002H_004,C15002H_004,C15002H_004,C15002H_004,B15002H_005
male_white_nohisp_somecoll,C15002H_005,C15002H_005,C15002H_005,C15002H_005,C15002H_005,C15002H_005,C15002H_005,C15002H_005,C15002H_005,C15002H_005,C15002H_005,C15002H_005,C15002H_005,C15002H_005,C15002H_005,
male_white_nohisp_somecoll_a,,,,,,,,,,,,,,,,B15002H_006
male_white_nohisp_somecoll_b,,,,,,,,,,,,,,,,B15002H_007
male_white_nohisp_collplus,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,
male_white_nohisp_collplus_a,,,,,,,,,,,,,,,,B15002H_008
male_white_nohisp_collplus_b,,,,,,,,,,,,,,,,B15002H_009
female_white_nohisp_lths,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,
female_white_nohisp_lths_a,,,,,,,,,,,,,,,,B15002H_011
female_white_nohisp_lths_b,,,,,,,,,,,,,,,,B15002H_012
female_white_nohisp_hs,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,B15002H_013
female_white_nohisp_somecoll,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,
female_white_nohisp_somecoll_a,,,,,,,,,,,,,,,,B15002H_014
female_white_nohisp_somecoll_b,,,,,,,,,,,,,,,,B15002H_015
female_white_nohisp_collplus,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,
female_white_nohisp_collplus_a,,,,,,,,,,,,,,,,B15002H_016
female_white_nohisp_collplus_b,,,,,,,,,,,,,,,,B15002H_017
